contigName	contigLen	totalAvgDepth	Specific1_Cen01_95.bam	Specific1_Cen01_95.bam-var	Specific1_Cen03_95.bam	Specific1_Cen03_95.bam-var	Specific1_Cen04_95.bam	Specific1_Cen04_95.bam-var	Specific1_Cen05_95.bam	Specific1_Cen05_95.bam-var	Specific1_Cen06_95.bam	Specific1_Cen06_95.bam-var	Specific1_Cen07_95.bam	Specific1_Cen07_95.bam-var	Specific1_Cen10_95.bam	Specific1_Cen10_95.bam-var	Specific1_Cen12_95.bam	Specific1_Cen12_95.bam-var	Specific1_Cen13_95.bam	Specific1_Cen13_95.bam-var	Specific1_Cen14_95.bam	Specific1_Cen14_95.bam-var	Specific1_Cen15_95.bam	Specific1_Cen15_95.bam-var	Specific1_Cen16_95.bam	Specific1_Cen16_95.bam-var	Specific1_Cen17_95.bam	Specific1_Cen17_95.bam-var
PROKKA_00001 P-protein	1083	73.8527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3108	74.7301	8.37406	13.5701	2.4866	1.82531	18.4212	16.2631	0	0
PROKKA_00002 Histidinol-phosphate aminotransferase 2	1077	67.7755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.1942	50.6778	5.9849	11.1541	3.30097	8.52564	12.8263	21.1676	0	0
PROKKA_00003 hypothetical protein	144	11.9722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.29861	0.400885	0.826389	0.0590035	1.89583	0	0.951389	0	0	0
PROKKA_00004 ATP-dependent protease Lon	636	62.0881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3519	73.4165	7.45679	11.2762	3.82922	2.06811	15.8724	12.152	0	0
PROKKA_00005 hypothetical protein	1461	65.9156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.9832	96.0343	7.7193	5.10495	2.75896	3.29325	17.1945	27.5983	0	0
PROKKA_00006 hypothetical protein	192	14.5793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1667	0	3.19048	0	0.809524	0	7.42857	0	0	0
PROKKA_00007 Copper chaperone	327	42.8324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0678	27.5559	2.57627	0.331151	2.65537	0.219569	13.9096	9.17976	0	0
PROKKA_00008 hypothetical protein	672	63.5394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.1437	34.0291	7.04406	3.55162	2.50958	5.27512	15.0556	10.6033	0	0
PROKKA_00009 HEXXH motif domain protein	1593	63.2404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.6064	48.0773	6.87595	10.2586	2.25295	3.62966	16.0222	18.5255	0	0
PROKKA_00010 Putative O-methyltransferase/MSMEI_4947	582	64.1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2963	148.232	10.456	6.21242	4.90046	2.02853	13.6505	20.1911	0	0
PROKKA_00011 hypothetical protein	1098	63.9467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.4314	98.2503	9.17405	5.20327	2.47574	1.53427	16.2004	13.0552	0	0
PROKKA_00012 Amino acid permease	1818	74.7779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.8315	45.3312	7.98141	9.22551	3.38789	4.66365	17.1289	18.6432	0	0
PROKKA_00013 3-oxoacyl-[acyl-carrier-protein] reductase FabG	738	67.9505	0	0	0	0	0	0	0	0	0	0	0	0	0.166667	0.139125	0	0	41.5085	180.05	10.5	17.729	3.60884	0.583761	16.1667	8.65631	0	0
PROKKA_00014 hypothetical protein	330	52.7129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2389	60.3254	5.73889	6.98507	1.85556	0.243172	13.0167	2.9595	0	0
PROKKA_00015 hypothetical protein	543	59.5138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.5242	71.8228	7.82443	3.38811	1.52926	1.34111	19.8779	13.8417	0	0
PROKKA_00016 Formate hydrogenlyase transcriptional activator	2094	66.4854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.6641	51.4242	8.47016	5.43155	3.08796	7.77774	16.447	14.4477	0	0
PROKKA_00017 Methionine synthase	3669	70.2563	0	0	0	0	0	0	0	0	0	0	0	0	0.0855357	0.155801	0	0	41.1242	79.5894	8.46178	8.72251	4.19693	4.8537	17.079	30.2307	0	0
PROKKA_00018 hypothetical protein	531	64.0977	0	0	0	0	0	0	0	0	0	0	0	0	0.209974	0.166321	0	0	45.853	47.9182	4.84514	3.10582	5.49081	7.24544	13.5223	18.0957	0	0
PROKKA_00019 Cyclic di-GMP phosphodiesterase response regulator RpfG	1140	73.3231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.7434	52.7601	10.3424	18.2788	2.06566	2.41186	16.7354	7.52871	0	0
PROKKA_00020 Ribonuclease PH	744	61.3698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.7407	65.3202	9.83165	8.72348	2.42424	0.61641	15.9495	10.0445	0	0
PROKKA_00021 dITP/XTP pyrophosphatase	603	51.6247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.2914	59.7769	6.15232	7.81068	3.87196	6.62667	9.25386	2.94937	0	0
PROKKA_00022 tRNA-Pro(tgg)	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKKA_00023 Sporulation kinase A	2712	76.4676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.2693	104.556	10.1628	14.9467	2.38759	2.49852	17.6811	15.1964	0	0
PROKKA_00024 Transcriptional regulatory protein ZraR	438	55.7661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.2604	30.8153	7.89583	1.96592	1.16667	0.369339	17.1458	14.1354	0	0
PROKKA_00025 hypothetical protein	768	73.4092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.7864	45.4197	8.41909	8.73934	3.84466	5.30809	18.4709	41.4394	0	0
PROKKA_00026 Outer-membrane lipoprotein carrier protein precursor	699	66.3982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5246	63.7799	10.8743	12.3516	2.01821	1.2077	16.1676	9.92766	0	0
PROKKA_00027 Stage III sporulation protein E	2427	67.6964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.794	59.5142	10.368	17.7323	2.21783	1.32391	17.3456	44.0954	0	0
